Article,Target Label,Target Name,Clean Article
"

I am sure some bashers of Pens fans are pretty confused about the lack
of any kind of posts about the recent Pens massacre of the Devils. Actually,
I am  bit puzzled too and a bit relieved. However, I am going to put an end
to non-PIttsburghers' relief with a bit of praise for the Pens. Man, they
are killing those Devils worse than I thought. Jagr just showed you why
he is much better than his regular season stats. He is also a lot
fo fun to watch in the playoffs. Bowman should let JAgr have a lot of
fun in the next couple of games since the Pens are going to beat the pulp out of Jersey anyway. I was very disappointed not to see the Islanders lose the final
regular season game.          PENS RULE!!!

",0,rec.sport.hockey,sure basher pens fan pretty confused lack kind post recent pens massacre devils actually bit puzzled bit relieved however go put end non pittsburghers relief bit praise pens man kill devil bad think jagr show much well regular season stat also lot fo fun watch playoff bowman let jagr lot fun next couple game since pens go beat pulp jersey anyway disappointed not see islanders lose final regular season game pens rule
"
[stuff deleted]

Ok, here's the solution to your problem.  Move to Canada.  Yesterday I was able
to watch FOUR games...the NJ-PITT at 1:00 on ABC, LA-CAL at 3:00 (CBC), 
BUFF-BOS at 7:00 (TSN and FOX), and MON-QUE at 7:30 (CBC).  I think that if
each series goes its max I could be watching hockey playoffs for 40-some odd
consecutive nights (I haven't counted so that's a pure guess).

I have two tv's in my house, and I set them up side-by-side to watch MON-QUE
and keep an eye on BOS-BUFF at the same time.  I did the same for the two
afternoon games.

Btw, those ABC commentaters were great!  I was quite impressed; they seemed
to know that their audience wasn't likely to be well-schooled in hockey lore
and they did an excellent job.  They were quite impartial also, IMO.

",0,rec.sport.hockey,stuff delete ok solution problem move canada yesterday able watch four game nj pitt abc la cal cbc buff bos tsn fox mon que cbc think series go max could watch hockey playoff odd consecutive night not count pure guess two tv house set side side watch mon que keep eye bos buff time two afternoon game btw abc commentater great quite impressed seem know audience not likely well school hockey lore excellent job quite impartial also imo
"


Yeah, it's the second one.  And I believe that price too.  I've been trying
to get a good look at it on the Bruin-Sabre telecasts, and wow! does it ever
look good.  Whoever did that paint job knew what they were doing.  And given
Fuhr's play since he got it, I bet the Bruins are wishing he didn't have it:)
",0,rec.sport.hockey,yeah second one believe price try get good look bruin sabre telecast wow ever look good whoever paint job know give fuhrs play since get bet bruin wish not
"I don't know the exact coverage in the states.  In Canada it is covered
by TSN, so maybe ESPN will grab their coverage!  I don't know!

As for the picks
Ottawa picks #1 which means it is almost 100% that Alexander Daigle will 
go #1. He'll either stay or be traded in Montreal or Quebec.  IMO I would
take Kariya.  He should alot of leadership in the NCAA and so far in
the World Championships.  Daigle didn't show this for his junior team.

San Jose will then get Kariya.

Tampa Bay will either go for a russian Kozlov (I think that's it) or a 
    defenseman Rob Niedemeyer (probably spelt the last name wrong)

Because of expansion I won't go further but I will name other of the
blue chip prospects

   - Chris Gratton
   - Chris Pridham
   - a swedish player who I can't remember his name

Draft Order
-----------
1) Ottawa
2) San Jose
3) Tampa Bay
4) South Florida or Anahiem
5) South Florida or Anahiem
6) Hartford
7) Edmonton
8) Dallas
9) NY Rangers
10) Philadelphia

the 8th thru 10th picks could be wrong - I don't have the standings here
and am guessing 

(In my mind there are 8 top notch prospects in the draft, with Kariya 
 leading the way but not going #1)",0,rec.sport.hockey,not know exact coverage state canada cover tsn maybe espn grab coverage not know pick ottawa pick mean almost alexander daigle go either stay trade montreal quebec imo would take kariya alot leadership ncaa far world championships daigle not show junior team san jose get kariya tampa bay either go russian kozlov think defenseman rob niedemeyer probably spelt last name wrong expansion not go name blue chip prospect chris gratton chris pridham swedish player not remember name draft order ottawa san jose tampa bay south florida anahiem south florida anahiem hartford edmonton dallas ny rangers philadelphia th thru th pick could wrong not standing guess mind top notch prospect draft kariya lead way not go
"
Be patient. He has a sore shoulder from crashing into the wall.
The Cards will give him all the time he needs to come around.
He is their full time centerfielder.
He will not however steal as often this year as he is hitting
clean-up.",1,rec.sport.baseball,patient sore shoulder crash wall cards give time need come around full time centerfielder not however steal often year hit clean
"Here are the NHL's alltime leaders in goals and points at the end of
the 1992-3 season. Again, much thanks to Joseph Achkar.

Carl

Notes: An active player is a player that has scored at least one
point the past season.  The points leaders follow the goal leaders.
If you find any mistakes, please send me email.
-------------------------------------------------------------------

All time NHL leading goal scorers (* denotes active player):

  1.  Gordie Howe          Det-Hfd                            801
  2. *Wayne Gretzky        Edm-LA                             765
  3.  Marcel Dionne        Det-LA-NYR                         731
  4.  Phil Esposito        Chi-Bos-NYR                        717
  5.  Bobby Hull           Chi-Wpg-Hfd                        610
  6. *Mike Gartner         Wsh-Min-NYR                        583
  7.  Mike Bossy           NYI                                573
  8.  Guy Lafleur          Mtl-NYR-Que                        560
  9.  Johnny Bucyk         Det-Bos                            556
 10.  Maurice Richard      Mtl                                544
 11.  Stan Mikita          Chi                                541
 12.  Frank Mahovlich      Tor-Det-Mtl                        533
 13. *Michel Goulet        Que-Chi                            532
 14. *Jari Kurri           Edm-LA                             524
 15.  Bryan Trottier       NYI-Pit                            520
 16.  Gilbert Perreault    Buf                                512
 17.  Jean Beliveau        Mtl                                507
 18.  Lanny McDonald       Tor-Col-Cgy                        500
 19.  Jean Ratelle         NYR-Bos                            491
 20.  Norm Ullman          Det-Tor                            490
 21. *Dino Ciccarelli      Min-Wsh-Det                        485
 22.  Darryl Sittler       Tor-Phi-Det                        484
 23. *Mario Lemieux        Pit                                477
 24. *Glenn Anderson       Edm-Tor                            459
 25.  Alex Delvecchio      Det                                456
 26. *Mark Messier         Edm-NYR                            452
 27. *Dale Hawerchuk       Wpg-Buf                            449
 28.  Rick Middleton       NYR-Bos                            448
 29. *Steve Yzerman        Det                                445
 30. *Peter Stastny        Que-NJ                             444
 31.  Rick Vaive           Van-Tor-Chi-Buf                    441
 32. *Joe Mullen           StL-Cgy-Pit                        433
 33.  Yvan Cournoyer       Mtl                                428
 34. *Dave Taylor          LA                                 427
 35.  Steve Shutt          Mtl-LA                             424
 36. *Denis Savard         Chi-Mtl                            423
 37.  Bill Barber          Phi                                420
 38. *Brian Propp          Phi-Bos-Min                        413
 39.  Gary Unger           Tor-Det-StL-Atl-LA-Edm             413
 40.  Rod Gilbert          NYR                                406
 41. *Steve Larmer         Chi                                406
 42. *John Ogrodnick       Det-Que-NYR                        402
-----------------------------------------------------------------

Other active players:
     *Bernie Nicholls      LA-NYR-Edm-NJ                      397
     *Pat LaFontaine       NYI-Buf                            386
     *Brian Bellows        Min-Mtl                            382
     *Dave Andreychuk      Buf-Tor                            373
     *Tim Kerr             Phi-NYR-Hfd                        370
     *Bobby Smith          Min-Mtl                            357
     *Brett Hull           Cgy-StL                            356
     *Luc Robitaille       LA                                 353
     *Mike Foligno         Det-Buf-Tor                        351
     *Dave Christian       Wpg-Wsh-Bos-StL-Chi                340
     *Paul Coffey          Edm-Pit-LA-Det                     330
     *Brent Sutter         NYI-Chi                            325
     *Pat Verbeek          NJ-Hfd                             318
     *Ron Francis          Hfd-Pit                            311
     *Cam Neely            Van-Bos                            292
     *Ray Bourque          Bos                                291
     *Bob Carpenter        Wsh-NYR-LA-Bos-Tor                 285
     *Brent Ashton         Van-Col-NJ-Min-Que-Det-Wpg-Bos-Cgy 284
     *Doug Gilmour         Stl-Cgy-Tor                        277
     *Rick Tocchet         Phi-Pit                            277
     *Kevin Dineen         Hfd-Phi                            275
     *Tomas Sandstrom      NYR-LA                             273
     *Dale Hunter          Que-Wsh                            269
     *Ryan Walter          Wsh-Mtl-Van                        264
     *Brian Mullen         Wpg-NYR-SJ-NYI                     260
     *Ed Olczyk            Chi-Tor-Wpg-NYR                    260
     *Kirk Muller          NJ-Mtl                             258
     *Joe Nieuwendyk       Cgy                                257
     *Jimmy Carson         LA-Edm-Det                         254

------------------------------------------------------------------------------

All time NHL scoring leaders (* denotes active player):

  1. *Wayne Gretzky        Edm-LA                             765 1563 2328
  2.  Gordie Howe          Det-Hfd                            801 1049 1850
  3.  Marcel Dionne        Det-LA-NYR                         731 1040 1771
  4.  Phil Esposito        Chi-Bos-NYR                        717  873 1590
  5.  Stan Mikita          Chi                                541  926 1467
  6.  Bryan Trottier       NYI-Pit                            520  890 1410
  7.  Johnny Bucyk         Det-Bos                            556  813 1369
  8.  Guy Lafleur          Mtl-NYR-Que                        560  793 1353
  9.  Gilbert Perreault    Buf                                512  814 1326
 10.  Alex Delvecchio      Det                                456  825 1281
 11.  Jean Ratelle         NYR-Bos                            491  776 1267
 12. *Mark Messier         Edm-NYR                            452  780 1232
 13.  Norm Ullman          Det-Tor                            490  739 1229
 14. *Peter Stastny        Que-NJ                             444  777 1221
 15.  Jean Beliveau        Mtl                                507  712 1219
 16. *Dale Hawerchuk       Wpg-Buf                            449  763 1212
 17.  Bobby Clarke         Phi                                358  852 1210
 18. *Paul Coffey          Edm-Pit-LA-Det                     330  871 1201
 19. *Denis Savard         Chi-Mtl                            423  769 1192
 20. *Jari Kurri           Edm-LA                             524  666 1190
 21. *Mario Lemieux        Pit                                477  697 1174
 22.  Bobby Hull           Chi-Wpg-Hfd                        610  560 1170
 23.  Bernie Federko       StL                                369  761 1130
 24.  Mike Bossy           NYI                                573  553 1126
 25. *Michel Goulet        Que-Chi                            532  590 1122
 26.  Darryl Sittler       Tor-Phi-Det                        484  637 1121
 27. *Mike Gartner         Wsh-Min-NYR                        583  524 1107
 28.  Frank Mahovlich      Tor-Det-Mtl                        533  570 1103
 29. *Ray Bourque          Bos                                291  806 1099
 30. *Dave Taylor          LA                                 427  635 1062
 31.  Denis Potvin         NYI                                310  742 1052
 32.  Henri Richard        Mtl                                358  688 1046
 33. *Steve Yzerman        Det                                445  595 1040
 34. *Bobby Smith          Min-Mtl                            357  679 1036
 35.  Rod Gilbert          NYR                                406  615 1021
 36. *Glenn Anderson       Edm-Tor                            459  559 1018
 37.  Lanny McDonald       Tor-Col-Cgy                        500  506 1006
 38.  Rick Middleton       NYR-Bos                            448  540  988
 39.  Dave Keon            Tor-Hfd                            396  590  986
 40. *Ron Francis          Hfd-Pit                            311  675  986
 41. *Bernie Nicholls      LA-NYR-Edm-NJ                      397  580  977
 42. *Brian Propp          Phi-Bos-Min                        413  561  974
 43.  Andy Bathgate        NYR-Tor-Det-Pit                    349  624  973
 44.  Maurice Richard      Mtl                                544  421  965
 45.  Larry Robinson       Mtl-LA                             208  750  958
 46. *Dino Ciccarelli      Min-Wsh-Det                        485  472  957
 47. *Steve Larmer         Chi                                406  517  923
 48. *Joe Mullen           StL-Cgy-Pit                        433  486  919
 49.  Bobby Orr            Bos-Chi                            270  645  915
 50.  Brad Park            NYR-Bos-Det                        213  683  896
 51.  Butch Goring         LA-NYI-Bos                         375  513  888
 52.  Bill Barber          Phi                                420  463  883
 53.  Dennis Maruk         Cal-Cle-Wsh-Min                    356  521  877
 54.  Ivan Boldirev        Bos-Cal-Chi-Atl-Van-Det            361  505  866
 55.  Yvan Cournoyer       Mtl                                428  435  863
 56.  Dean Prentice        NYR-Bos-Det-Pit-Min                391  469  860
 57.  Ted Lindsay          Det-Chi                            379  472  851
 58.  Tom Lysiak           Atl-Chi                            292  551  843
 59. *Dale Hunter          Que-Wsh                            269  570  839
 60.  John Tonelli         NYI-Cgy-LA-Chi-Que                 325  511  836
 61.  Jacques Lemaire      Mtl                                366  469  835
 62. *Larry Murphy         LA-Wsh-Min-Pit                     203  631  834
 63. *John Ogrodnick       Det-Que-NYR                        402  425  827
 64. *Doug Wilson          Chi-SJ                             237  590  827
 65. *Doug Gilmour         Stl-Cgy-Tor                        277  548  825
 66.  Red Kelly            Det-Tor                            281  542  823
 67.  Pierre Larouche      Pit-Mtl-Hfd-NYR                    395  427  822
 68.  Bernie Geoffrion     Mtl-NYR                            393  429  822
 69.  Steve Shutt          Mtl-LA                             424  393  817
 70. *Phil Housley         Buf-Wpg                            242  575  817
 71.  Wilf Paiment         KC-Col-Tor-Que-NYR-Buf-Pit         356  458  814
 72.  Peter McNab          Buf-Bos-Van-NJ                     363  450  813
 73. *Brian Bellows        Min-Mtl                            382  428  810
 74. *Dave Andreychuk      Buf-Tor                            373  436  809
 75.  Pit Martin           Det-Bos-Chi-Van                    324  485  809
 76. *Pat LaFontaine       NYI-Buf                            386  421  807
 77.  Ken Linesman         Phi-Edm-Bos                        256  551  807
 78.  Gary Unger           Tor-Det-StL-Atl-LA-Edm             413  391  804
 79.  Ken Hodge,Sr         Chi-Bos-NYR                        328  472  800
 80. *Neal Broten          Min                                249  547  796
 81.  Wayne Cashman        Bos                                277  516  793
 82.  Rick Vaive           Van-Tor-Chi-Buf                    441  347  788
 83.  Borje Salming        Tor-Det                            150  637  787
 84.  Jean Pronovost       Pit-Atl-Wsh                        391  383  774
 85.  Peter Mahovlich      Det-Mtl-Pit                        288  485  773
 86. *Dave Christian       Wpg-Wsh-Bos-StL-Chi                340  430  770
 87.  Rick Kehoe           Tor-Pit                            371  396  767
 88.  Rick MacLeish        Phi-Hfd-Pit-Det                    349  410  759
 89. *Thomas Steen         Wpg                                240  511  751
---------------------------------------------------------------------------

Other active players:
     *Al MacInnis          Cgy                                185  555  740
     *Luc Robitaille       LA                                 353  371  724
     *Mike Foligno         Det-Buf-Tor                        351  367  718
     *Brent Sutter         NYI-Chi                            325  389  714
     *Mark Howe            Hfd-Phi-Det                        192  520  712
     *Kirk Muller          NJ-Mtl                             258  433  691
     *Tim Kerr             Phi-NYR-Hfd                        370  304  674
     *Adam Oates           Det-StL-Bos                        167  490  657
     *Randy Carlyle        Tor-Pit-Wpg                        148  499  647
     *Ryan Walter          Wsh-Mtl-Van                        264  382  646
     *Pat Verbeek          NJ-Hfd                             318  313  631
     *Brent Ashton         Van-Col-NJ-Min-Que-Det-Wpg-Bos-Cgy 284  345  629
     *Bob Carpenter        Wsh-NYR-LA-Bos-Tor                 285  337  622
     *Brian Mullen         Wpg-NYR-SJ-NYI                     260  362  622
     *Ed Olczyk            Chi-Tor-Wpg-NYR                    260  358  618
     *Kelly Kisio          Det-NYR-SJ                         215  402  617
     *Brett Hull           Cgy-StL                            356  247  603
     *Rick Tocchet         Phi-Pit                            277  324  601
     *Dan Quinn            Cgy-Pit-Van-StL-Phi-Min            232  367  599
     *Scott Stevens        Wsh-StL-NJ                         132  462  594
     *Tomas Sandstrom      NYR-LA                             273  320  593
     *Tom Fergus           Bos-Tor-Van                        235  346  581
     *Dave Babych          Wpg-Hfd-Van                        120  460  580
     *Mike Ridley          NYR-Wsh                            230  348  578
     *Laurie Boschman      Tor-Edm-Wpg-NJ-Ott                 225  350  575
     *Keith Acton          Mtl-Min-Edm-Phi                    224  350  574
     *Murray Craven        Det-Phi-Hfd                        205  365  570
     *Kevin Dineen         Hfd-Phi                            275  290  565
     *Rob Ramage           Col-StL-Cgy-Tor-Min-TB             139  423  562
     *Mike Krushelnyski    Bos-Edm-LA-Tor                     234  319  553
     *Gary Suter           Cgy                                124  428  552
     *Pierre Turgeon       Buf-NYI                            218  324  542
     *Troy Murray          Chi-Wpg                            217  324  541
     *Cam Neely            Van-Bos                            292  241  533
     *Geoff Courtnall      Bos-Edm-Wsh-StL-Van                246  274  520
     *Vincent Damphousse   Tor-Edm-Mtl                        195  320  515
     *Jimmy Carson         LA-Edm-Det                         254  259  513
     *Peter Zezel          Phi-StL-Wsh-Tor                    182  328  510
     *Guy Carbonneau       Mtl                                207  302  509
     *Mark Osborne         Det-NYR-Tor-Wpg                    202  301  503
     *Chris Chelios        Mtl-Chi                            108  394  502
     *Dave Poulin          Phi-Bos                            195  301  496
     *Ray Ferraro          Hfd-NYI                            230  263  493
     *Russ Courtnall       Tor-Mtl-Min                        208  284  492
     *Joe Nieuwendyk       Cgy                                257  234  491
     *John MacLean         NJ                                 241  248  489",0,rec.sport.hockey,nhl alltime leader goal point end season much thank joseph achkar carl note active player player score least one point past season point leader follow goal leader find mistake please send email time nhl lead goal scorer denote active player gordie howe det hfd wayne gretzky edm la marcel dionne det la nyr phil esposito chi bos nyr bobby hull chi wpg hfd mike gartner wsh min nyr mike bossy nyi guy lafleur mtl nyr que johnny bucyk det bos maurice richard mtl stan mikita chi frank mahovlich tor det mtl michel goulet que chi jari kurri edm la bryan trottier nyi pit gilbert perreault buf jean beliveau mtl lanny mcdonald tor col cgy jean ratelle nyr bos norm ullman det tor dino ciccarelli min wsh det darryl sittler tor phi det mario lemieux pit glenn anderson edm tor alex delvecchio det mark messier edm nyr dale hawerchuk wpg buf rick middleton nyr bos steve yzerman det peter stastny que nj rick vaive van tor chi buf joe mullen stl cgy pit yvan cournoyer mtl dave taylor la steve shutt mtl la denis savard chi mtl bill barber phi brian propp phi bos min gary unger tor det stl atl la edm rod gilbert nyr steve larmer chi john ogrodnick det que nyr active player bernie nicholls la nyr edm nj pat lafontaine nyi buf brian bellows min mtl dave andreychuk buf tor tim kerr phi nyr hfd bobby smith min mtl brett hull cgy stl luc robitaille la mike foligno det buf tor dave christian wpg wsh bos stl chi paul coffey edm pit la det brent sutter nyi chi pat verbeek nj hfd ron francis hfd pit cam neely van bos ray bourque bos bob carpenter wsh nyr la bos tor brent ashton van col nj min que det wpg bos cgy doug gilmour stl cgy tor rick tocchet phi pit kevin dineen hfd phi tomas sandstrom nyr la dale hunter que wsh ryan walter wsh mtl van brian mullen wpg nyr sj nyi ed olczyk chi tor wpg nyr kirk muller nj mtl joe nieuwendyk cgy jimmy carson la edm det time nhl score leader denote active player wayne gretzky edm la gordie howe det hfd marcel dionne det la nyr phil esposito chi bos nyr stan mikita chi bryan trottier nyi pit johnny bucyk det bos guy lafleur mtl nyr que gilbert perreault buf alex delvecchio det jean ratelle nyr bos mark messier edm nyr norm ullman det tor peter stastny que nj jean beliveau mtl dale hawerchuk wpg buf bobby clarke phi paul coffey edm pit la det denis savard chi mtl jari kurri edm la mario lemieux pit bobby hull chi wpg hfd bernie federko stl mike bossy nyi michel goulet que chi darryl sittler tor phi det mike gartner wsh min nyr frank mahovlich tor det mtl ray bourque bos dave taylor la denis potvin nyi henri richard mtl steve yzerman det bobby smith min mtl rod gilbert nyr glenn anderson edm tor lanny mcdonald tor col cgy rick middleton nyr bos dave keon tor hfd ron francis hfd pit bernie nicholls la nyr edm nj brian propp phi bos min andy bathgate nyr tor det pit maurice richard mtl larry robinson mtl la dino ciccarelli min wsh det steve larmer chi joe mullen stl cgy pit bobby orr bos chi brad park nyr bos det butch goring la nyi bos bill barber phi dennis maruk cal cle wsh min ivan boldirev bos cal chi atl van det yvan cournoyer mtl dean prentice nyr bos det pit min ted lindsay det chi tom lysiak atl chi dale hunter que wsh john tonelli nyi cgy la chi que jacques lemaire mtl larry murphy la wsh min pit john ogrodnick det que nyr doug wilson chi sj doug gilmour stl cgy tor red kelly det tor pierre larouche pit mtl hfd nyr bernie geoffrion mtl nyr steve shutt mtl la phil housley buf wpg wilf paiment kc col tor que nyr buf pit peter mcnab buf bos van nj brian bellows min mtl dave andreychuk buf tor pit martin det bos chi van pat lafontaine nyi buf ken linesman phi edm bos gary unger tor det stl atl la edm ken hodge sr chi bos nyr neal broten min wayne cashman bos rick vaive van tor chi buf borje salming tor det jean pronovost pit atl wsh peter mahovlich det mtl pit dave christian wpg wsh bos stl chi rick kehoe tor pit rick macleish phi hfd pit det thomas steen wpg active player al macinnis cgy luc robitaille la mike foligno det buf tor brent sutter nyi chi mark howe hfd phi det kirk muller nj mtl tim kerr phi nyr hfd adam oates det stl bos randy carlyle tor pit wpg ryan walter wsh mtl van pat verbeek nj hfd brent ashton van col nj min que det wpg bos cgy bob carpenter wsh nyr la bos tor brian mullen wpg nyr sj nyi ed olczyk chi tor wpg nyr kelly kisio det nyr sj brett hull cgy stl rick tocchet phi pit dan quinn cgy pit van stl phi min scott stevens wsh stl nj tomas sandstrom nyr la tom fergus bos tor van dave babych wpg hfd van mike ridley nyr wsh laurie boschman tor edm wpg nj ott keith acton mtl min edm phi murray craven det phi hfd kevin dineen hfd phi rob ramage col stl cgy tor min tb mike krushelnyski bos edm la tor gary suter cgy pierre turgeon buf nyi troy murray chi wpg cam neely van bos geoff courtnall bos edm wsh stl van vincent damphousse tor edm mtl jimmy carson la edm det peter zezel phi stl wsh tor guy carbonneau mtl mark osborne det nyr tor wpg chris chelios mtl chi dave poulin phi bos ray ferraro hfd nyi russ courtnall tor mtl min joe nieuwendyk cgy john maclean nj
"


I don't buy this at all.  I think things are colored to a very large
degree of preconceived notions of who the players involved are.  Try
this exercise:

XXX is pitching today.  His team scores 4 in the first inning, and 3
in the fourth.  XXX gives up 0 in the 1st through 4th.  In the fifth,
he gives up 3 runs.  In the 6th, he gives up 2 more.  The score is now
7-5, with XXX's team still on top.

I contend that if XXX were Jack Morris, the assessment would be ""he is
a gutty veteran who pitches only as well as he has to to win.""

If XXX were Mike Trmbley, the assessment would be ""he is an
inexperienced rookie who doesn't know how to pitch.  Needs more
seasoning.  Send him to AAA.  Or to the spice rack.""

",1,rec.sport.baseball,not buy think thing color large degree preconceived notion player involve try exercise xxx pitch today team score first inning fourth xxx give st th fifth give run th give score xxxs team still top contend xxx jack morris assessment would gutty veteran pitch well win xxx mike trmbley assessment would inexperienced rookie not know pitch need seasoning send aaa spice rack
"



Well, Dave, I would have to disagree with you there.  Satan himself could
own the team, and I'd be happy as long as the Oilers stayed in Edmonton.
Selfish, but true.  I don't want to see the Oilers move, no matter who
their owner is.",0,rec.sport.hockey,well dave would disagree satan could team would happy long oilers stay edmonton selfish true not want see oiler move no matter owner
"

Why not? I believe both the Devils and Islanders got 87 points.
Say for example, another team had this record : 20-37-47;
they had 20*2+47*1+37*0=87 which is the same as their points total.
(The Islanders' and Devils' records are both 40-37-7.

It is simple arithmetics and involve no Calculus.
",0,rec.sport.hockey,not believe devil islanders get point say example another team record point total islanders devils record simple arithmetic involve no calculus
"

  Well I think whenever ESPN covers the game they do a wonderful job. But
   what I don't understand is that they cut the OT just show some stupid
   baseball news which is not important at all. Then I waited for the scores
   to comeon Sportscenter, but they talk about Baseball, basketball and 
   football. Then they showed Penguine highlight and went back to stupid
   basketball. Finally they showed a highlight of the OT goal but that
   was like 30 sec. I think they should give more attention to NHl during
   the playoffs then talking about boring basketball games..

   I guess it is NHL's fault too for leaving ESPN. Hope things improve
   by next season...

   COBRA


-- 
",0,rec.sport.hockey,well think whenever espn cover game wonderful job not understand cut ot show stupid baseball news not important wait score comeon sportscenter talk baseball basketball football show penguine highlight go back stupid basketball finally show highlight ot goal like sec think give attention nhl playoff talk bore basketball game guess nhl fault leave espn hope thing improve next season cobra
