Lot size,Bedrooms,Bathrooms,Year built,Neighborhood,Distance to park,Distance to school,Distance to shopping,Floors,Garage capacity,HasPool,HasFireplace,HasDeck,HasBasement,Heating,Cooling,NumPrevOwner,Energy rating,Made,Price
1060,2,2,1982,Urban,2.031009878,11.05845862,5.514336198,1,0,NO,YES,NO,0,Oil,Window,3,1,1995,66284
1470,2,1,1974,Urban,0.485623026,9.414439575,7.593473075,2,1,NO,NO,NO,0,Oil,Window,3,3,1994,67837
1228,2,2,1982,Urban,3.816085381,3.334791967,9.112772518,2,1,NO,YES,NO,0,Oil,Window,3,9,1997,68477
1600,2,2,1934,Urban,3.153375483,6.599427004,7.507681205,1,0,NO,NO,NO,0,Oil,Window,3,8,2019,74525
2353,2,1,1979,Urban,4.891483098,10.79176925,9.242801082,1,1,YES,NO,NO,0,Oil,Window,3,2,2014,76733
1253,3,1,1958,Rural,0.41800647,11.14566113,8.352182699,1,0,NO,YES,NO,1,Oil,Window,3,7,2009,79111
1028,2,1,1922,Rural,2.253588124,12.91678293,8.172842311,1,0,NO,YES,NO,0,Oil,Window,3,4,1993,87134
1009,2,1,1922,Rural,1.246883098,5.191502878,6.71820438,1,0,NO,NO,NO,0,Oil,Window,3,5,2009,89111
3724,2,2,1982,Rural,1.818149188,9.337342318,7.249452811,1,0,NO,YES,NO,1,Oil,Window,3,3,1990,92524
1954,3,2,1945,Rural,1.461666517,10.07063317,9.058663162,1,0,NO,NO,NO,0,Oil,Wall,3,6,2014,93083
2277,2,1,1932,Urban,2.242025715,9.299823745,8.882828312,1,0,NO,NO,NO,0,Oil,Window,3,6,2003,93391
1009,2,1,1942,Suburban,4.784302288,11.54641249,7.855411283,2,0,NO,NO,NO,0,Oil,Window,3,8,2016,94766
1262,2,1,1982,Urban,1.861176751,7.468173724,8.229094756,2,1,NO,NO,NO,0,Oil,Window,3,7,2007,94773
1341,2,2,1993,Suburban,2.046215743,8.133277435,8.372166762,2,1,YES,YES,NO,0,Oil,Window,3,3,2015,95347
1077,2,2,1993,Suburban,0.221016759,12.98631146,6.816458629,2,2,YES,NO,NO,0,Oil,Window,3,6,2009,97299
1777,3,1,1950,Rural,3.240929681,3.633593075,7.544977161,2,2,YES,NO,NO,0,Oil,Window,3,9,1993,99464
1040,2,1,1918,Suburban,2.192850987,4.79611299,6.43958047,2,0,NO,YES,NO,0,Oil,Window,3,4,2006,101016
1092,2,1,1913,Suburban,2.461775097,12.62144854,8.211958027,2,0,NO,YES,NO,0,Oil,Central,3,9,1996,102671
1329,2,2,1935,Urban,4.41518783,6.348657087,7.851978493,1,0,NO,YES,NO,0,Oil,Window,3,5,2019,109228
1197,2,2,1921,Rural,1.90177169,10.7941405,8.380755846,2,0,NO,NO,NO,0,Oil,Wall,3,8,1994,115964
1103,2,2,1909,Rural,4.730583762,3.611688231,7.449314873,1,0,NO,NO,NO,0,Oil,Central,3,5,2000,121327
2155,2,1,1996,Rural,0.536147701,7.165933966,9.472137828,2,0,NO,YES,NO,NaN,Oil,Window,3,5,1995,130660
2802,2,1,1931,Rural,2.236630173,8.587793721,9.677059175,1,2,NO,NO,NO,0,Oil,Window,3,3,2007,133212
2899,2,1,1942,Rural,0.749106216,8.78481055,8.337087293,1,0,NO,NO,NO,0,Oil,Window,3,9,1999,137229
2881,2,1,1971,Rural,0.259106781,4.89437753,7.220947596,1,0,NO,NO,NO,0,Oil,Window,3,3,2018,139047
1951,2,1,1976,Rural,2.258129396,11.73482484,7.948470562,2,0,NO,NO,NO,0,Oil,Window,3,5,1995,139316
2240,2,2,1904,Rural,0.290183444,6.394901775,7.316314285,2,2,NO,YES,NO,0,Oil,Window,3,7,2000,140151
2571,2,1,1919,Rural,0.784630778,12.66516245,8.027770079,1,1,YES,NO,NO,0,Oil,Window,3,9,2000,140670
2122,2,1,1962,Rural,3.884111029,6.201182331,9.465354708,1,0,NO,NO,NO,0,Oil,Window,3,5,2000,141003
1234,2,2,1931,Rural,1.652873768,10.19465617,10.85883418,1,1,YES,NO,NO,0,Oil,Window,3,3,2009,141294
1129,2,2,1910,Rural,2.289023674,4.148963522,7.155279029,2,0,NO,NO,NO,0,Oil,Window,3,8,1993,142603
1853,3,1,1927,Rural,1.241219009,5.596803781,6.798409178,1,2,YES,NO,NO,0,Oil,Window,3,2,2015,142916
3161,2,1,1959,Rural,0.453923807,5.944570299,6.695693076,1,0,NO,NO,NO,0,Oil,Window,3,7,2000,146507
1095,2,1,1983,Rural,2.096298619,3.617459809,8.399269408,1,1,NO,YES,NO,0,Oil,Window,3,2,2004,147225
1024,2,1,1958,Rural,0.463463358,10.93094033,6.890731414,2,1,NO,NO,NO,0,Oil,Window,3,5,1993,148280
1215,2,2,1924,Rural,0.657433598,3.392465489,8.246730451,1,1,NO,YES,NO,0,Oil,Window,3,1,2005,149085
1760,2,1,1923,Suburban,1.29925089,11.13118253,6.495753329,2,1,NO,NO,NO,0,Oil,Central,3,4,1996,149154
1119,3,2,1986,Suburban,1.000683158,9.595846309,7.575073164,2,0,NO,YES,NO,0,Oil,Window,3,8,2016,150931
1236,2,2,1996,Suburban,1.68974732,7.271631718,8.040330401,1,2,NO,YES,NO,0,Oil,Window,3,8,1993,151410
1396,2,1,1967,Rural,3.427941328,4.580538254,6.761184982,2,0,NO,NO,NO,0,Oil,Window,3,9,2013,151555
1202,2,2,1976,Suburban,1.855273302,10.01135755,8.520598881,2,1,NO,YES,NO,0,Oil,Central,3,5,1997,152568
1899,2,2,1911,Urban,4.041434629,9.067794569,8.069149816,2,2,NO,NO,NO,0,Oil,Wall,3,2,1997,152601
3450,2,1,1976,Rural,1.626410265,11.30244957,7.526878495,2,1,NO,YES,NO,0,Oil,Window,3,1,2004,153245
1860,3,2,1926,Rural,4.4979084,3.406608974,9.708964052,1,0,NO,NO,NO,0,Oil,Window,3,3,1997,156327
2401,2,2,1980,Suburban,1.644562013,9.790535194,8.557097959,1,2,NO,NO,NO,1,Gas,Window,3,1,2018,158589
1186,2,1,1980,Rural,0.79964962,12.69744982,8.064538063,2,0,NO,YES,NO,0,Oil,Central,3,2,1995,158797
2160,3,1,1942,Suburban,3.243740438,9.670674341,8.926174527,2,1,NO,YES,NO,0,Oil,Wall,3,5,2003,159623
2386,2,1,1973,Suburban,0.875602655,4.276640527,7.282337724,2,0,NO,NO,NO,0,Oil,Window,3,3,2000,160191
1235,2,2,1991,Suburban,3.351761132,5.195996107,9.52243891,2,2,NO,YES,NO,0,Oil,Wall,3,6,2010,160527
1248,2,1,1996,Urban,0.46469925,8.219788587,9.018995832,1,0,NO,YES,NO,0,Oil,Window,3,8,2000,162046
2603,2,1,1948,Suburban,4.460198331,7.292044169,9.84200015,1,2,NO,YES,NO,1,Oil,Window,3,4,2009,162393
1848,2,2,1925,Suburban,3.161497454,7.985740908,7.435546566,2,2,NO,NO,NO,0,Oil,Window,3,4,2014,164407
1216,2,1,1986,Urban,2.084505383,5.694918423,6.930220957,1,0,NO,YES,NO,0,Oil,Central,3,6,2007,164449
1405,2,1,1924,Urban,1.063773935,4.633923675,6.852693516,2,0,NO,NO,NO,0,Oil,Wall,3,3,2008,164889
2077,2,2,1946,Urban,2.73469143,10.38360807,8.47625276,1,2,NO,NO,NO,1,Electric,Window,3,7,2008,169206
1034,3,1,1931,Urban,2.580085278,3.4086316,7.485208301,2,1,NO,NO,NO,0,Oil,Central,3,7,2000,169372
1536,2,1,1928,Rural,4.570047349,4.362247294,8.244383127,2,2,YES,YES,NO,0,Oil,Central,3,6,2009,170681
1333,2,2,1986,Rural,2.452661204,5.920041498,7.03550318,1,2,YES,YES,NO,0,Oil,Wall,3,3,2000,170720
1709,2,2,1914,Rural,4.035535507,8.114844999,8.072743329,2,1,NO,NO,NO,0,Oil,Window,3,4,2013,171337
1574,2,1,1958,Rural,2.288774737,9.742649624,7.94244853,1,1,NO,YES,NO,1,Oil,Window,3,6,2020,171710
1090,2,2,1929,Suburban,0.918055877,11.55093629,9.141558732,2,1,YES,NO,NO,0,Oil,Window,3,8,2015,172995
1019,2,1,1989,Suburban,3.924308578,6.229438391,6.035102717,2,0,NO,YES,NO,0,Oil,Window,3,1,2005,173223
1935,2,1,1914,Suburban,3.189884617,9.488249778,7.248611497,2,0,NO,NO,NO,1,Oil,Window,3,9,2000,173949
2026,2,2,1912,Urban,0.964418361,11.11690643,8.071618393,2,2,NO,NO,NO,1,Oil,Central,3,5,1996,174772
1379,3,1,1974,Rural,1.759791483,8.9000442,8.055256098,2,0,NO,YES,YES,1,Electric,Central,3,2,2018,175079
1147,3,1,1923,Rural,0.976321236,5.538080268,7.534127058,1,0,NO,NO,NO,0,Oil,Window,3,2,2004,175641
1452,2,1,1958,Rural,0.924359238,12.4155613,9.536534156,2,1,NO,NO,NO,1,Oil,Window,3,5,2020,176318
